Major,Department,Degree Type,URL
African and African American Studies,African and African American Studies Program,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies
Anthropology,Anthropology Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Anthropology
Art History,Art History Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Art-History
"Asian Societies, Cultures, and Languages","Asian Societies, Cultures, and Languages Department",Bachelor of  Arts,https://dartmouth.smartcatalogiq.com/en/current/orc/departments-programs-undergraduate/asian-societies-cultures-and-languages/
Biological Sciences,Biological Sciences Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Biological-Sciences
Biological Chemistry,Chemistry Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Chemistry
Biophysical Chemistry,Chemistry Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Chemistry
Chemistry,Chemistry Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Chemistry
Ancient History,Classics Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Classics-Classical-Studies-Greek-Latin
Classical Archaeology,Classics Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Classics-Classical-Studies-Greek-Latin
Classical Languages and Literatures,Classics Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Classics-Classical-Studies-Greek-Latin
Classical Studies,Classics Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Classics-Classical-Studies-Greek-Latin
Cognitive Science,Cognitive Science Program,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/current/orc/Departments-Programs-Undergraduate/Cognitive-Science
Comparative Literature,Comparative Literature Program,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Comparative-Literature
Computer Science,Computer Science Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Computer-Science
Earth Sciences,Earth Sciences Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Earth-Sciences
Russian,"East European, Eurasian, and Russian Studies",Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Russian-Language-and-Literature
Russian Area Studies,"East European, Eurasian, and Russian Studies",Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Russian-Language-and-Literature
Economics,Economics Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Economics
Biomedical Engineering Sciences,Engineering Sciences Department—Thayer School of Engineering,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/current/orc/Departments-Programs-Undergraduate/Engineering-Sciences
Engineering Physics,Engineering Sciences Department—Thayer School of Engineering,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/current/orc/Departments-Programs-Undergraduate/Engineering-Sciences
Engineering Sciences,Engineering Sciences Department—Thayer School of Engineering,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/current/orc/Departments-Programs-Undergraduate/Engineering-Sciences
English,English and Creative Writing Department,Bachelor of  Arts,https://dartmouth.smartcatalogiq.com/current/orc/Departments-Programs-Undergraduate/English-and-Creative-Writing
Film and Media Studies,Film and Media Studies Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/current/orc/Departments-Programs-Undergraduate/Film-and-Media-Studies
French,French and Italian Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/French-and-Italian-Languages-and-Literatures
French Studies,French and Italian Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/French-and-Italian-Languages-and-Literatures
Italian,French and Italian Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/French-and-Italian-Languages-and-Literatures
Italian Studies,French and Italian Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/French-and-Italian-Languages-and-Literatures
Romance Languages,French and Italian Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/French-and-Italian-Languages-and-Literatures
Biomedical Engineering Sciences,Geisel School of Medicine,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/current/orc/Departments-Programs-Undergraduate/Engineering-Sciences
Geography,Geography Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Geography
German Studies,German Studies Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/German-Studies
Government,Government Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Government
History,History Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/History
"Latin American, Latino, and Caribbean Studies","Latin American, Latino, and Caribbean Studies Department",Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Latin-American-Latino-and-Caribbean-Studies
Linguistics,Linguistics Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/current/orc/Departments-Programs-Undergraduate/Linguistics
Mathematics,Mathematics Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Mathematics
Music,Music Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Music
Native American Studies,Native American Studies and Indigenous Studies Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Native-American-Studies-Program
Philosophy,Philosophy Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/current/orc/Departments-Programs-Undergraduate/Philosophy
Astronomy,Physics and Astronomy Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Physics-and-Astronomy
Physics,Physics and Astronomy Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Physics-and-Astronomy
Neuroscience,Psychological and Brain Sciences Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Psychological-and-Brain-Sciences
Psychology,Psychological and Brain Sciences Department,Bachelor of  Arts,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/Psychological-and-Brain-Sciences
